codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacaoTCU2019,casosAcumulado,obitosAcumulado,porcentagem_casos_hab,porcentagem_obitos_casos,CIR,CodRegiao,Sede,Região de Saúde,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Código Município,Código Município Completo,Municipio,CodMunIBGE,Código,Área Territorial - km²,População estimada - pessoas,Densidade demográfica - hab/km²,Escolarização 6 a 14 anos,IDHM - Índice de desenvolvimento humano municipal,Mortalidade infantil - óbitos por mil nascidos vivos,Receitas realizadas - R$ (×1000),Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$,v0002_codigo_do_municipio,GeoSES,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao
240660,Lagoa Salgada,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,8245,67,2,0.008126137052759249,0.02985074626865672,1,24001,São José de Mipibu ,Litoral Sul/Agreste,3,Agreste Potiguar,15,Agreste Potiguar,6601.0,2406601,Lagoa Salgada,240660,2406601,79.128,8245,95.35,96.0,0.582,7.63,19912.14754,18827.15627,8023.14,2406601,-0.6525066640451574,77.29808959099755,0,72.33402702295022,10.466045273502502,0.13059080576442028,957.8783023146033,0.08289840284358796
240670,Lajes,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,11277,64,1,0.005675268245100647,0.015625,3,24003,João Câmara,Mato Grande/Salineira,2,Central Potiguar,9,Angicos,6700.0,2406700,Lajes,240670,2406700,676.625,11277,15.34,99.0,0.624,27.52,28031.68705,27987.71623,10641.66,2406700,-0.6019250488578273,70.69307649262406,0,65.85230118589682,14.351805471644006,0.0,1103.7944302686283,0.08707691196285516
240680,Lajes Pintadas,24005,5ª REGIAO DE SAUDE - SANTA CRUZ,4759,84,1,0.017650766967850392,0.011904761904761904,5,24005,Santa Cruz,Trairi/Potengi,3,Agreste Potiguar,14,Borborema Potiguar,6809.0,2406809,Lajes Pintadas,240680,2406809,130.211,4759,35.42,95.9,0.625,24.1,16288.57473,14633.99378,8510.91,2406809,-0.619846760761031,69.45265800738565,0,63.501575924114476,4.903801685825282,0.1859594818337893,981.107471974335,0.04984996696947164
240690,Lucrécia,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,3996,5,0,0.0012512512512512512,0.0,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,7,Umarizal,6908.0,2406908,Lucrécia,240690,2406908,30.931,3996,117.45,99.5,0.646,40.0,14217.85233,12261.70402,10432.83,2406908,-0.4131704294470884,70.39145052970943,0,59.613910452055386,5.504702013823664,2.1014429745541,1528.274736765025,0.11840003576779345
240700,Luís Gomes,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,10116,36,1,0.0035587188612099642,0.027777777777777776,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,5,Serra de São Miguel,7005.0,2407005,Luís Gomes,240700,2407005,166.638,10116,57.67,99.4,0.608,30.49,22971.38754,20886.53742,6736.87,2407005,-0.6588578165306871,73.35843755711558,0,77.05980246689225,8.961395696560679,0.0,891.5664849566209,0.09563331707334832
240710,Macaíba,24007,7ª REGIAO DE SAUDE - METROPOLITANA,80792,725,62,0.00897366075849094,0.08551724137931034,7,24007,Natal,Metropolitana,4,Leste Potiguar,17,Macaíba,7104.0,2407104,Macaíba,240710,2407104,510.092,80792,136.0,97.6,0.64,7.6,180037.98756,154920.25344,18483.39,2407104,-0.5379897947766774,68.72510795764202,0,56.90913329485189,15.383905358469631,0.5974351048819972,1418.403152347604,0.0571218064672081
240720,Macau,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,31814,269,17,0.00845539699503363,0.06319702602230483,3,24003,João Câmara,Mato Grande/Salineira,2,Central Potiguar,8,Macau,7203.0,2407203,Macau,240720,2407203,775.302,31814,36.74,97.7,0.665,2.99,78130.39219,82450.20335,18618.59,2407203,-0.4830003134223619,66.0409435383182,0,44.25349558318604,11.95219547181841,1.0523318997696671,1649.4041929031914,0.045685767860589976
240725,Major Sales,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,4020,21,1,0.0052238805970149255,0.047619047619047616,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,5,Serra de São Miguel,7252.0,2407252,Major Sales,240725,2407252,31.971,4020,110.6,99.5,0.617,16.39,16380.67294,14959.59822,8702.44,2407252,-0.6103518659308851,74.94057176061497,0,65.09674753992138,5.053712758381959,0.6204269850173088,1091.5677238799694,0.11139204303191796
240730,Marcelino Vieira,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,8347,59,2,0.007068407811189648,0.03389830508474576,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,6,Pau dos Ferros,7302.0,2407302,Marcelino Vieira,240730,2407302,345.711,8347,23.91,97.3,0.609,9.8,18642.12731,16050.98079,7320.8,2407302,-0.582095512322615,74.7743316977924,0,63.05311815029714,4.314664738371612,0.5172394108871519,1093.4067618686965,0.10768610713803106
240740,Martins,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,8725,17,0,0.0019484240687679085,0.0,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,7,Umarizal,7401.0,2407401,Martins,240740,2407401,169.464,8725,48.49,98.9,0.622,9.9,19461.27265,19167.89719,9306.89,2407401,-0.5149450071538724,70.80913374889563,0,58.35080611325165,3.1549697468570184,0.7689589632600793,1033.3058811381482,0.10629728738996748
